,Sat,UAA,TWI,UAA_road,TWI_road,Slope,Flux,K_sat,MAX_WT,Median_WT,Watershed,Depth,Position,well_names,well_title,tpi_150,Hillslope,sat_30,sat_50,sat_100,Radiation,Deficit,TWI_DEF,Deficit_250,percent_well_sat,count_sat,count_total,median_wt_hieght_dbg,na.rm
1,1,88968.7,10.368,35482.24,9.4487,12.68914,NA,0.000564,0.916,0.878,CW,1,Hollow,1A,11,-19.6228,A,0.999772261,1,1,905895.5,0.4620997,0.022436717,353.453336,0.878,4391,4391,0.122,TRUE
2,1,171856.3,11.3537,69756.8,10.4521,12.72013,NA,0.00264,1.026,0.907,CW,1.1,Hollow,2A,15,-17.2034,A,1,1,1,907060.4,0.4446796,0.025532316,353.453336,0.824545455,4391,4391,0.193,TRUE
3,1,70467.02,9.8089,23332.87,8.7036,13.11726,NA,0.042263,1.193,1.071,CW,1.8,Hollow,3A,18,-18.0116,A,0,0,1,898058.5,0.4446796,0.022058354,353.453336,0.595,4391,4391,0.729,TRUE
4,1,33371.5,8.6267,3374.91,6.3353,18.93326,NA,2.43E-05,0.699,0.647,CW,0.79,Hollow,4A,21,-17.7369,A,0.986791164,1,1,843759.9,0.4393212,0.01963643,353.453336,0.818987342,4391,4391,0.143,TRUE
5,0.270325666,41897.74,8.6224,3995.606,6.2723,25.04307,3.33E-06,0.1747794,0.024,0.021,CW,1.22,Hollow,5A,24,-16.2835,A,0,0,0,759787.9,0.4393212,0.019626642,353.453336,0.017213115,1187,4391,1.199,TRUE
6,1,75448.75,10.073,5711.735,7.4921,21.65243,NA,0.00581,1.583,1.467,CW,1.6,Hollow,6A,27,-13.4303,A,0.989979504,1,1,779491.9,0.437466,0.023025789,353.453336,0.916875,4391,4391,0.133,TRUE
7,0.436802551,37182.05,8.7953,2080.541,5.9121,24.24,1.57E-08,0.00141,0.31,0.038,CW,1.3,Hollow,7A,30,-9.5207,A,0,0,0.000227739,833043.6,0.4442896,0.019796322,353.453336,0.029230769,1918,4391,1.262,TRUE
8,0.00159417,13843.09,7.7292,522.8596,4.453,23.39515,4.43E-07,0.0403182,0.178,0.016,CW,0.86,Sideslope,8A,33,-8.2748,A,0,0,0.00159417,899335.7,0.4450312,0.017367771,353.453336,0.018604651,7,4391,0.844,TRUE
9,1,104264.3,10.4638,50060.63,9.7301,12.69514,NA,6.22E-05,1.126,1.107,CW,1.15,Hollow,9A,36,-18.3979,A,1,1,1,915556.1,0.4409745,0.02372881,353.453336,0.962608696,4391,4391,0.043,TRUE
10,0.537235254,42929.07,8.4768,20138.56,7.7199,25.44188,2.33E-09,0.000202,0.102,0.066,CW,1.09,Hollow,10A,1,-18.5843,A,0,0,0.062628103,736834,0.4371284,0.019392014,353.453336,0.060550459,2359,4391,1.024,TRUE
