datetime_CW,CW1,CW2,CW3,CW4,CW5,CW6,datetime_NFEC,NFEC_1,NFEC_2,NFEC_3,NFEC_4,NFEC_5,NFEC_6,NFEC_7
4/1/2017 0:00,0.88,0.912,1.045,0.863,1.28,1.061,4/1/2017 0:00,0.733,0.615,0.807,1.213,0.972,1.17,1.704
4/1/2017 1:00,0.88,0.912,1.045,0.863,1.28,1.061,4/1/2017 1:00,0.734,0.623,0.809,1.213,0.966,1.167,1.703
4/1/2017 2:00,0.879,0.911,1.045,0.863,1.28,1.061,4/1/2017 2:00,0.735,0.627,0.811,1.217,0.962,1.166,1.703
4/1/2017 3:00,0.879,0.912,1.045,0.863,1.28,1.061,4/1/2017 3:00,0.737,0.628,0.807,1.214,0.97,1.177,1.711
4/1/2017 4:00,0.879,0.911,1.045,0.863,1.28,1.061,4/1/2017 4:00,0.738,0.629,0.808,1.213,0.967,1.18,1.714
4/1/2017 5:00,0.878,0.91,1.045,0.863,1.28,1.061,4/1/2017 5:00,0.74,0.628,0.808,1.212,0.964,1.177,1.713
4/1/2017 6:00,0.878,0.91,1.045,0.863,1.28,1.061,4/1/2017 6:00,0.741,0.627,0.814,1.212,0.952,1.171,1.71
4/1/2017 7:00,0.878,0.91,1.044,0.863,1.28,1.061,4/1/2017 7:00,0.742,0.624,0.808,1.21,0.943,1.165,1.705
4/1/2017 8:00,0.878,0.909,1.045,0.863,1.281,1.061,4/1/2017 8:00,0.743,0.619,0.805,1.208,0.954,1.176,1.712
4/1/2017 9:00,0.877,0.908,1.044,0.863,1.28,1.062,4/1/2017 9:00,0.745,0.616,0.798,1.199,0.942,1.164,1.701
4/1/2017 10:00,0.877,0.908,1.044,0.862,1.28,1.062,4/1/2017 10:00,0.746,0.613,0.795,1.194,0.935,1.16,1.699
4/1/2017 11:00,0.878,0.907,1.044,0.862,1.28,1.062,4/1/2017 11:00,0.747,0.612,0.791,1.194,0.931,1.159,1.696
4/1/2017 12:00,0.878,0.908,1.044,0.862,1.279,1.06,4/1/2017 12:00,0.747,0.608,0.793,1.193,0.935,1.166,1.699
4/1/2017 13:00,0.878,0.91,1.045,0.862,1.279,1.061,4/1/2017 13:00,0.748,0.602,0.793,1.193,0.937,1.171,1.701
4/1/2017 14:00,0.878,0.912,1.047,0.862,1.278,1.061,4/1/2017 14:00,0.748,0.596,0.8,1.197,0.933,1.173,1.697
4/1/2017 15:00,0.878,0.914,1.049,0.863,1.278,1.062,4/1/2017 15:00,0.748,0.589,0.797,1.197,0.93,1.173,1.698
4/1/2017 16:00,0.879,0.915,1.05,0.863,1.278,1.063,4/1/2017 16:00,0.748,0.586,0.805,1.204,0.934,1.174,1.701
4/1/2017 17:00,0.879,0.915,1.049,0.863,1.278,1.063,4/1/2017 17:00,0.748,0.587,0.805,1.208,0.929,1.166,1.696
4/1/2017 18:00,0.88,0.915,1.049,0.864,1.278,1.063,4/1/2017 18:00,0.748,0.595,0.806,1.213,0.936,1.17,1.697
4/1/2017 19:00,0.881,0.915,1.048,0.864,1.279,1.063,4/1/2017 19:00,0.749,0.611,0.806,1.223,0.939,1.164,1.696
4/1/2017 20:00,0.881,0.915,1.048,0.864,1.279,1.064,4/1/2017 20:00,0.749,0.632,0.809,1.227,0.954,1.167,1.7
4/1/2017 21:00,0.881,0.915,1.048,0.864,1.28,1.065,4/1/2017 21:00,0.749,0.653,0.808,1.231,0.961,1.162,1.701
4/1/2017 22:00,0.881,0.915,1.048,0.864,1.28,1.065,4/1/2017 22:00,0.75,0.665,0.807,1.229,0.969,1.164,1.701
4/1/2017 23:00,0.882,0.914,1.048,0.864,1.28,1.065,4/1/2017 23:00,0.751,0.67,0.802,1.231,0.972,1.164,1.703
4/2/2017 0:00,0.882,0.914,1.047,0.864,1.281,1.066,4/2/2017 0:00,0.752,0.67,0.805,1.229,0.983,1.169,1.708
4/2/2017 1:00,0.882,0.914,1.047,0.864,1.281,1.065,4/2/2017 1:00,0.754,0.67,0.806,1.23,0.981,1.167,1.706
4/2/2017 2:00,0.882,0.914,1.047,0.864,1.281,1.065,4/2/2017 2:00,0.756,0.669,0.806,1.23,0.984,1.17,1.709
4/2/2017 3:00,0.881,0.913,1.047,0.864,1.281,1.065,4/2/2017 3:00,0.759,0.666,0.806,1.231,0.98,1.169,1.711
4/2/2017 4:00,0.881,0.912,1.047,0.864,1.281,1.065,4/2/2017 4:00,0.761,0.66,0.807,1.23,0.979,1.171,1.711
4/2/2017 5:00,0.881,0.912,1.046,0.864,1.282,1.066,4/2/2017 5:00,0.765,0.656,0.804,1.228,0.973,1.168,1.71
4/2/2017 6:00,0.881,0.911,1.046,0.864,1.282,1.066,4/2/2017 6:00,0.77,0.651,0.805,1.228,0.97,1.168,1.71
4/2/2017 7:00,0.881,0.911,1.046,0.864,1.282,1.066,4/2/2017 7:00,0.773,0.646,0.803,1.226,0.968,1.169,1.711
4/2/2017 8:00,0.881,0.911,1.046,0.864,1.282,1.066,4/2/2017 8:00,0.776,0.643,0.804,1.224,0.963,1.17,1.71
4/2/2017 9:00,0.88,0.91,1.045,0.864,1.282,1.066,4/2/2017 9:00,0.781,0.64,0.798,1.219,0.958,1.165,1.71
4/2/2017 10:00,0.879,0.91,1.045,0.863,1.281,1.065,4/2/2017 10:00,0.784,0.636,0.796,1.216,0.958,1.168,1.708
4/2/2017 11:00,0.879,0.91,1.045,0.863,1.281,1.065,4/2/2017 11:00,0.785,0.633,0.794,1.215,0.953,1.166,1.707
4/2/2017 12:00,0.878,0.91,1.045,0.863,1.281,1.065,4/2/2017 12:00,0.786,0.629,0.797,1.216,0.955,1.171,1.707
4/2/2017 13:00,0.878,0.911,1.045,0.864,1.28,1.065,4/2/2017 13:00,0.787,0.624,0.798,1.215,0.953,1.172,1.709
4/2/2017 14:00,0.879,0.911,1.045,0.864,1.28,1.064,4/2/2017 14:00,0.787,0.62,0.793,1.21,0.945,1.167,1.704
4/2/2017 15:00,0.88,0.911,1.045,0.864,1.28,1.064,4/2/2017 15:00,0.788,0.61,0.797,1.216,0.949,1.168,1.706
4/2/2017 16:00,0.88,0.911,1.045,0.864,1.28,1.063,4/2/2017 16:00,0.788,0.602,0.797,1.217,0.932,1.154,1.692
4/2/2017 17:00,0.88,0.91,1.044,0.864,1.281,1.063,4/2/2017 17:00,0.788,0.593,0.794,1.22,0.947,1.169,1.703
4/2/2017 18:00,0.881,0.91,1.045,0.864,1.281,1.063,4/2/2017 18:00,0.788,0.594,0.796,1.221,0.945,1.164,1.698
4/2/2017 19:00,0.881,0.91,1.044,0.864,1.281,1.063,4/2/2017 19:00,0.788,0.595,0.8,1.223,0.947,1.166,1.702
4/2/2017 20:00,0.881,0.91,1.044,0.864,1.282,1.063,4/2/2017 20:00,0.788,0.59,0.8,1.222,0.947,1.163,1.7
4/2/2017 21:00,0.881,0.91,1.044,0.864,1.282,1.063,4/2/2017 21:00,0.788,0.56,0.799,1.222,0.944,1.163,1.701
4/2/2017 22:00,0.881,0.91,1.044,0.864,1.282,1.063,4/2/2017 22:00,0.788,0.562,0.8,1.225,0.95,1.169,1.704
4/2/2017 23:00,0.881,0.91,1.044,0.864,1.282,1.062,4/2/2017 23:00,0.787,0.563,0.8,1.223,0.95,1.169,1.704
4/3/2017 0:00,0.881,0.91,1.044,0.864,1.282,1.062,4/3/2017 0:00,0.787,0.561,0.804,1.225,0.952,1.171,1.704
