"","TWI","Saturation_ratio","Watershed"
"1",10.1656,1,"NFEC"
"2",4.1942,0.0139,"NFEC"
"3",5.98,0.671,"NFEC"
"4",5.3,0.3749,"NFEC"
"5",8.7283,1,"NFEC"
"6",4.87,0.3386,"NFEC"
"7",3.702,0.00205,"NFEC"
"8",4.99,0.044,"NFEC"
"9",9.5564,1,"NFEC"
"10",4.326,0,"NFEC"
"11",10.2614,1,"NFEC"
"12",4.218,0,"NFEC"
"13",8.8502,1,"NFEC"
"14",3.9082,0,"NFEC"
"15",3.5372,0,"NFEC"
"16",2.8667,0,"NFEC"
"17",12.6183,1,"NFEC"
"18",11.8509,1,"NFEC"
"19",3.8153,0.00296,"NFEC"
"20",10.4567,1,"NFEC"
"21",4.0683,0.00615,"NFEC"
"22",3.8772,0.00228,"NFEC"
"23",3.4729,0.00205,"NFEC"
"24",3.5377,0,"NFEC"
"25",10.368,1,"CW"
"26",11.3537,1,"CW"
"27",9.8089,1,"CW"
"28",8.6267,1,"CW"
"29",8.6224,0.2703,"CW"
"30",10.073,1,"CW"
"31",8.7953,0.4368,"CW"
"32",7.7292,0.00159,"CW"
"33",10.4638,1,"CW"
"34",8.4768,0.5372,"CW"
"35",7.1194,0.00592,"CW"
"36",8.774,0.1451,"CW"
"37",7.8,0.054,"CW"
"38",5.41,0.0173,"CW"
"39",4.1189,0.00296,"CW"
"40",4.4869,0.00114,"CW"
"41",3.1753,0,"CW"
"42",3.4209,0,"CW"
"43",9.506,0.5963,"CW"
"44",8.381,0.1935,"CW"
"45",5.8308,0,"CW"
